No.,Quantity,Footprint,Value,Device,LCSC Stock,LCSC Price,JLCPCB Stock,JLCPCB Price,Supplier Part,Manufacturer Part
1,1,HDR-TH_40P-P2.54-V-M-R2-C20-S2.54,,2.54mm 2*20P直排针,,,1602,0.0207,C50980,2.54mm 2*20P直排针
2,1,LQFP-128_L14.0-W14.0-P0.40-LS16.0-BL-EP5.0,,V3s,,,1208,0.7509,C2687449,V3s
3,1,WQFN-20_L3.0-W3.0-P0.40-BL-EP,,EA3036CQBR,,,57393,0.0333,C570857,EA3036CQBR
4,1,FC-12M_L2.0-W1.2,32.768kHz,X1A0000610002,,,8109,0.0343,C55208,X1A0000610002
5,1,TF-SMD_TF-110,,TF-110,,,5103,0.037,C266613,TF-110
6,1,USB-C-SMD_TYPE-C16PIN,,TYPE-C16PIN,,,199744,0.0092,C393939,TYPE-C16PIN
7,1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,AP2337SA-7,,,1317,0.0199,C150497,AP2337SA-7
8,1,QFN-72_L10.0-W10.0-P0.50-BL-EP,,SII9022ACNU_C369565,,,739,0.4736,C369565,SII9022ACNU
9,1,HDMI-SMD_HYC22-HDMID19-890,,HYC22-HDMID19-890,,,148,0.0545,C711356,HYC22-HDMID19-890
10,1,Screw-Hole-M2,,Screw-Hole-M2,,0.3005,,,,
11,1,SLP2510P8_L2.5-W1.0-P0.50-BL,,RClamp0524PATCT_C40960,,,135290,0.009,C40960,RClamp0524PATCT
12,1,FPC-SMD_AFC07-S22FCC-00,,AFC07-S22FCC-00,,,62,0.0138,C11056,AFC07-S22FCC-00
13,1,CRYSTAL-SMD_4P-L1.6-W1.2-BL,24MHz,7R24000E12UBE,,,5933,0.0375,C252278,7R24000E12UBE
14,1,IND-SMD_L2.0-W1.2_FTC201210S,2.2uH,FTC201210S2R2MBCA,,,2968,0.012,C5832324,FTC201210S2R2MBCA
15,1,L0402,,PBY100505T-101Y-N,,,257,0.0006,C142087,PBY100505T-101Y-N
16,1,Test-Point-0.5mm,,Test-Point,,0.3005,,,,
17,1,C0201,220pF,GRM0335C1E221JA01D,,,10750,0.0006,C907939,GRM0335C1E221JA01D
18,1,C0402,10uF,GRM155R61A106ME44D,,,1045680,0.0015,C77000,GRM155R61A106ME44D
19,1,C0201,100nF,GRM033R61A104KE15D,,,2580004,0.0002,C76934,GRM033R61A104KE15D
20,1,C0201,15pF,GRM0335C1H150JA01D,,,98697,0.0003,C85891,GRM0335C1H150JA01D
21,1,C0201,1uF,GRM033R61A105ME44D,,,1116290,0.0004,C76935,GRM033R61A105ME44D
22,1,R0201,68kΩ,0201WMF6802TEE,,,6895,0.0002,C423450,0201WMF6802TEE
23,1,R0201,15kΩ,0201WMF1502TEE,,,50024,0.0001,C473452,0201WMF1502TEE
24,1,R0201,200kΩ,0201WMF2003TEE,,,140660,0.0002,C270357,0201WMF2003TEE
25,1,R0201,100kΩ,0201WMF1003TEE,,,1999506,0.0001,C270364,0201WMF1003TEE
26,1,R0201,0Ω,0201WMF0000TEE,,,1275785,0.0001,C473473,0201WMF0000TEE
27,1,R0201,240Ω,0201WMF2400TEE,,,150872,0.0002,C270354,0201WMF2400TEE
28,1,R0201,2kΩ,0201WMF2001TEE,,,694581,0.0002,C270358,0201WMF2001TEE
29,1,R0201,10MΩ,0201WMF1005TEE,,,3360,0.0002,C423797,0201WMF1005TEE
30,1,R0201,47kΩ,0201WMF4702TEE,,,298891,0.0002,C270345,0201WMF4702TEE
31,1,R0201,33Ω,0201WMF330JTEE,,,43115,0.0002,C473457,0201WMF330JTEE
32,1,R0201,4.7kΩ,0201WMF4701TEE,,,1361723,0.0002,C270346,0201WMF4701TEE
33,1,R0201,2.2kΩ,0201WMF2201TEE,,,1571946,0.0001,C473508,0201WMF2201TEE
34,1,R0201,4.3kΩ,0201WMF4301TEE,,,27020,0.0001,C423525,0201WMF4301TEE
35,1,R0201,10kΩ,0201WMF1002TEE,,,1364084,0.0001,C473048,0201WMF1002TEE
36,1,R0201,5.1kΩ,0201WMF5101TEE,,,370556,0.0001,C270344,0201WMF5101TEE
37,1,R0201,22Ω,0201WMF220JTEE,,,519084,0.0002,C270355,0201WMF220JTEE
38,1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,,LP5907MFX-3.3/NOPB,,,83785,0.0156,C80670,LP5907MFX-3.3/NOPB
